Id,SalePrice
1461,105744.96406728833
1462,157134.18303576717
1463,186753.29583918047
1464,189782.75948050123
1465,221587.3324217362
1466,172450.21615150938
1467,181037.8096944904
1468,157867.9904746723
1469,202524.59785514622
1470,108578.07258630323
1471,181153.54188016284
1472,98515.98498449702
1473,93517.97538682364
1474,147866.4730224533
1475,111798.52431291813
1476,366102.1471303359
1477,261696.63654486404
1478,273333.7310345081
1479,268954.178016003
1480,477733.6200586888
1481,313376.78488856426
1482,202960.3497062656
1483,175005.98637162015
1484,163261.75773378246
1485,177239.47120233695
1486,190854.33464025956
1487,310023.5958269277
1488,234466.89448209107
1489,208876.68348084146
1490,250177.54008119518
1491,200490.41729834955
1492,86504.14666673314
1493,200752.08123497094
1494,291403.08549700724
1495,289280.1710958148
1496,243799.27476571652
1497,175994.11236568325
1498,172293.93178114918
1499,149952.71373842342
1500,141227.06421457214
1501,198747.77683492302
1502,130227.67612001917
1503,289984.26241752726
1504,238528.52463458257
1505,228925.60008057312
1506,188335.1940463165
1507,270789.36884295417
1508,203877.39220458746
1509,144891.20996769128
1510,143490.39392273995
1511,166968.90674141957
1512,190302.10976991715
1513,152253.24102187948
1514,173697.74623033043
1515,215841.4182193689
1516,156851.7430257409
1517,180914.7484051917
1518,115832.51118296658
1519,227912.19625572395
1520,131716.13506449084
1521,135772.2400627582
1522,185424.1918698586
1523,108999.66761200718
1524,119266.38415311946
1525,124238.77081484359
1526,120412.23583047715
1527,97711.38304872281
1528,128704.19932722882
1529,152873.8706728543
1530,195845.26388518972
1531,125900.32175664487
1532,99508.42582946521
1533,164804.94115867367
1534,131010.2875307253
1535,165701.0847523483
1536,91786.2027490611
1537,48113.256020700035
1538,153620.93431272928
1539,209179.00222959684
1540,124200.07136081578
1541,124263.18643245281
1542,158286.61334927758
1543,209952.45598999865
1544,79878.67421882163
1545,132036.58617377782
1546,130016.74088688637
1547,133192.55266318587
1548,148178.27106662974
1549,116741.47680944792
1550,142034.1867099459
1551,123940.84385189263
1552,153421.46086357458
1553,150688.8305563901
1554,126055.7409260043
1555,167715.96439432015
1556,61136.37411174737
1557,140596.45785208174
1558,90441.11271527247
1559,54844.30369809526
1560,132669.11627892702
1561,135505.5876373861
1562,120086.09126762615
1563,127613.89129478397
1564,171911.55865206587
1565,141682.61585129343
1566,228252.63724057283
1567,64974.77085569367
1568,230253.69087849592
1569,133370.68897747033
1570,130574.3252926456
1571,97555.36741028004
1572,162813.31592020486
1573,266880.9338286519
1574,138582.6022678772
1575,228614.9928869399
1576,242346.1203111417
1577,169052.2368423188
1578,151586.6884163795
1579,151600.85028252698
1580,188827.89689191175
1581,144751.98396226362
1582,126586.74204967858
1583,293906.2419132431
1584,220916.66104181646
1585,139717.60659517033
1586,44989.55528437125
1587,101577.32537583972
1588,160356.99868699955
1589,97783.3773610642
1590,132751.90289004822
1591,89635.29832303175
1592,128769.78404299938
1593,124322.59505237988
1594,115100.83470048622
1595,113866.8114162737
1596,238357.3430427626
1597,194543.53456647327
1598,213926.3039804775
1599,192069.09112335078
1600,180501.44097537862
1601,59354.09268257185
1602,122098.32008381048
1603,38825.972878329805
1604,261838.93250875326
1605,235678.97687095217
1606,154818.32396701002
1607,176830.39580828458
1608,194767.28357338288
1609,196937.76848900947
1610,149887.39657136146
1611,120388.87345094606
1612,174601.18864322582
1613,160998.57489501697
1614,129420.66616254934
1615,80561.43423968239
1616,58703.63925102312
1617,77464.92847625655
